General,Alcoholism,Extra-Vergin Coconut Oil,Add extra virgin oil to your hot drinks or smoothies and use it for cooking or Eat a few tablespoons of extra-virgin coconut oil daily.
General,Alcoholism,Food to Avoid,"Avoid caffeine, sugar and nicotine, which can contribute to the urge to drink."
General,Alcoholism,Amino Acids,"Eat foods high in amino acids to help stabilize your mood, which in turn will help break the addiction cycle."
General,Alcoholism,Vitamin B12,Eat foods high in vitamin B12 to help improve liver functioning and to help stop alcohol cravings.
General,Alcoholism,Vitamin C,Eat foods high in vitamin C to improve brain functioning and reduce your interest in alcohol.
General,Alcoholism,Bitter Gourd Leaves,Extract the juice from a few bitter gourd leaves. Mix 3 teaspoons of this juice in a glass of buttermilk. Drink it once daily on an empty stomach. Follow this remedy for a couple of months.
General,Alcoholism,Dates,Soak 4 or 5 dates in 1 cup of water for 1 hour. Mash the soaked dates in the water and remove the seeds. Drink this brew twice daily. Repeat this remedy for 1 to 2 months.
General,Allergies,"Ginger, Cloves and Cinnamon Tea","Add 1 tablespoon of grated ginger, along with a few cloves and a small piece of cinnamon, to 1 cup of water. Bring the water to boil, then let it soak for 5 minutes. Strain it and add a little raw honey and lemon juice. Drink this herbal tea 2 or 3 times daily during the allergy season. Also, chew small pieces of fresh ginger several times a day as well as including ginger in your cooking."
General,Allergies,Garlic and Apple Cider Vinegar,"Add 2 teaspoons of organic, unfiltered apple cider vinegar to a glass of warm water. Mix in 1 teaspoon each of raw honey and fresh lemon juice. Drink this twice daily during the allergy season."
General,Allergies,Raw Garlic,"Chew 2 or 3 raw garlic cloves daily to combat various allergic symptoms. Also, include raw garlic in your day-to-day cooking."
General,Allergies,Saline Nasal Rinse,Clearing the nasal passages of allergens and irritants is very important to get rid of allergy symptoms. You can do this using a saline nasal rinse. A nasal rinse cleans mucus from your nose and can ease allergy symptoms there. It also can wash away bacteria and thick mucus and cut down on the postnasal drip.
General,Allergies,Vitamin C,"Eat foods high in vitamin C like lemons, oranges, broccoli, grapefruit, kiwi, bell peppers, potatoes, strawberries, sprouts, cabbage, blueberries, raspberries, and tomatoes."
General,Allergies,Nasal Drain,"Mix 1 teaspoon of salt into 2 cups of warm distilled water. Using a nasal bulb, pour a small amount of this solution into one nostril. Allow the solution to drain back out through the other nostril or through the mouth. Gently blow your nose to remove excess mucus and solution. Follow this same process with the other nostril. Repeat a couple of times daily until your condition improves. Note: Make sure to use distilled water for nasal irrigation and wash the irrigation device after each use."
General,Allergies,Turmeric Milk,"Mix 1 teaspoon of turmeric powder in a glass of warm milk. Drink it twice daily. You can also use turmeric in your cooking or take turmeric supplements but only after consulting your doctor. Caution: If you are taking prescription blood thinners, consult your doctor before taking turmeric as a medicine as it also as blood-thinning properties."
General,Allergies,Honey,"You can start taking 1 tablespoon of local honey daily before the onset of allergy season. You can eat it as is or stir some into tea, add some to oatmeal along with cinnamon, or put some in your smoothies."
General,Bedwetting,Exercises,"Have your child do a muscle-strengthening exercise involving tightening of the pelvic muscles, holding the position for 5 to 10 seconds, and then resting for five seconds. This exercise must be repeated 10 times, thrice daily."
General,Bedwetting,Bladder Training,"Encourage your child to hold off going to the bathroom for some time when the urge to urinate begins. This method may be more beneficial for accidental daytime wetting than night-time but can help reduce the frequency of bedwetting episodes. It usually trains the bladder to hold an increased amount of urine without triggering the urge to urinate, thus helping children to hold their urine for two to three minutes more, each day."
General,Bedwetting,Sugar and Cinnamon,Combine sugar and cinnamon powder and then sprinkle it on buttered toast. Give this toast to your child for breakfast.
